10.10.0.0/24	Infrastruktura
10.10.0.1	Mikrotik Router	64:d1:54:f5:06:32
10.10.0.5	Cloud Key Plus	70:a7:41:e6:62:fd 
10.10.0.11	Switch serwerownia 1	fc:ec:da:47:01:6f 
10.10.0.12	Switch serwerownia 2	44:d9:e7:06:9d:8a 
10.10.0.13	Switch serwerownia 3	b4:fb:e4:50:86:94  
10.10.0.14	Switch Blok A	74:4d:28:db:07:3f 
10.10.0.15	Switch Blok B	f4:1e:57:2d:7f:0a 
10.10.0.16	Switch Biblioteka	18:fd:74:2d:60:20 
10.10.0.17	Switch Wuefisci	48:a9:8a:79:04:ec 
10.10.0.18	Switch Sala Inf 1	18:fd:74:2d:61:45 

10.10.2.0/24	Infrastruktura Wifi
10.10.2.1	AP Korytarz C0	9c:05:d6:10:ba:18 
10.10.2.2	AP Korytarz C1	d8:b3:70:ec:7d:94 
10.10.2.3	AP Korytarz C2	9c:05:d6:10:b2:f4 
10.10.2.4	AP Korytarz A0	9c:05:d6:10:73:24 
10.10.2.5	AP Korytarz A1	9c:05:d6:10:b2:90 
10.10.2.6	AP Korytarz B0	9c:05:d6:10:be:94 
10.10.2.7	AP Korytarz B1	9c:05:d6:10:93:c8 
10.10.2.8	AP Świetlica	d8:b3:70:e9:ac:36 
10.10.2.9	AP Hades	74:ac:b9:2c:1b:33  
10.10.2.10	AP Basen	9c:05:d6:10:ae:50 

10.10.1.0/24	Serwery 
10.10.1.1	Server Web	d8:bb:c1:5c:7e:35 
10.10.1.2	Server Domeny	44:37:e6:a4:2c:44

10.10.25.0/24	Monitoring
10.10.25.1	Recorder	c0:39:5a:80:0c:0d
10.10.25.2	Kamera wejscie basen	c0:39:5a:d4:bd:29 
10.10.25.3	Kamera letnia czytelnia	b4:4c:3b:04:78:f3 
10.10.25.4	Kamera korytarz hades	6c:1c:71:96:f3:b9 
10.10.25.5	Kamera showek hades	c0:39:5a:ae:87:39 
10.10.25.6	Kamera hol glowny	c0:39:5a:52:ea:15 
10.10.25.7	Kamera parking	c0:39:5a:d4:c0:5e 
10.10.25.8	Kamera wejscie letnia czytelnia	c0:39:5a:2a:eb:9a 
10.10.25.10	Kamera pani jola	f4:b1:c2:ce:9d:cf 
10.10.25.11	Kamera tyl swietlica	b4:4c:3b:ca:2c:ec 
10.10.25.12	Kamera parking	c0:39:5a:d4:be:4c 
10.10.25.13	Kamera basen	b4:4c:3b:ca:2c:f6 
10.10.25.14	Kamera tartar	c0:39:5a:ae:86:45 
10.10.25.15	Kamera blok c schody srodek	c0:39:5a:52:e8:07 
10.10.25.16	Kamera blok c schody piwnica	c0:39:5a:52:f0:5a 
10.10.25.17	Kamera administracja	c0:39:5a:ae:87:2f 
10.10.25.18	Kamera hades przedsionek	c0:39:5a:52:e8:c2 
10.10.25.19	Kamera blok b gora	c0:39:5a:ae:87:2b 
10.10.25.20	Kamera nowe szafki	c0:39:5a:2a:eb:bc 
10.10.25.21	Kamera stare szafki	c0:39:5a:52:ec:f8 
